"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Ukraine",1992,51314101.5622481,1.775367181,4.958080819,-3.182713638,"UKR",-1.79270725281741,149.774462750789
"Ukraine",1993,51216999.9947366,1.948408258,4.646460168,-2.69805191,"UKR",-1.38474671627598,157.191392635839
"Ukraine",1994,51052800.7789676,1.722504421,3.753760283,-2.031255862,"UKR",-1.17924567067294,193.410380580241
"Ukraine",1995,50811699.2172016,1.697399311,3.904703162,-2.207303851,"UKR",-1.30040343306137,182.108344580454
"Ukraine",1996,50489601.5656897,1.457911294,3.266878646,-1.808967352,"UKR",-1.24079381400497,217.994003848199
"Ukraine",1997,50096499.9861571,1.678352157,3.387689087,-1.70933693,"UKR",-1.01846142945352,208.328213059752
"Ukraine",1998,49655199.2289808,1.516111273,3.087750926,-1.571639653,"UKR",-1.03662551759806,226.977777525706
"Ukraine",1999,49196898.4468581,1.509015447,2.9214202,-1.412404753,"UKR",-0.935977660135952,237.379034241634
"Ukraine",2000,48746300.774742,1.556805834,2.990553894,-1.43374806,"UKR",-0.920954972271654,228.779417704192
"Ukraine",2001,48310800.7719919,1.923303386,3.309820569,-1.386517183,"UKR",-0.720904053520126,205.273954296798
"Ukraine",2002,47890601.5681165,1.926959237,2.79777045,-0.870811213,"UKR",-0.451909486160174,239.740049742824
"Ukraine",2003,47493800.7622599,1.71756423,3.503088349,-1.785524119,"UKR",-1.03956756831155,188.67801182174
"Ukraine",2004,47127101.557644,1.97822211,3.468545234,-1.490323124,"UKR",-0.753364893894549,192.178056346217
"Ukraine",2005,46795300.7748234,1.994967378,3.452305559,-1.457338181,"UKR",-0.73050729280596,189.592476326545
"Ukraine",2006,46502699.2023189,1.978452322,3.388558144,-1.410105822,"UKR",-0.712731747813867,191.19119855581
"Ukraine",2007,46249199.2098358,1.801605304,3.389914264,-1.58830896,"UKR",-0.881607641807004,189.51975280614
"Ukraine",2008,46028500.0106501,2.47097037,3.828356815,-1.357386445,"UKR",-0.549333349553682,168.466185514631
"Ukraine",2009,45830699.2106855,2.295934976,2.862436318,-0.566501342,"UKR",-0.246741011803392,221.486626474448
"Ukraine",2010,45647500.0131102,2.157714594,3.214107155,-1.056392561,"UKR",-0.489588667053505,195.638099292395
"Ukraine",2011,45477699.2062291,2.483957767,3.537891602,-1.053933835,"UKR",-0.424296194858417,176.181049884344
"Ukraine",2012,45319898.4507365,2.25905297,2.878953033,-0.619900063,"UKR",-0.274407036148426,212.894807640139
"Ukraine",2013,45165199.2360179,2.60930156,3.230438184,-0.621136624,"UKR",-0.23804708873895,191.030881168072
"Ukraine",2014,45002500.0009801,2.66741316,2.963994838,-0.296581678,"UKR",-0.111186989869991,207.134587752988
