"year","country","overshoot_day","country_3_code"
1961,"USSR",289.588755550605,"SUUH"
1962,"USSR",279.928734761598,"SUUH"
1963,"USSR",269.056014191237,"SUUH"
1964,"USSR",247.268119465014,"SUUH"
1965,"USSR",243.533960722201,"SUUH"
1966,"USSR",225.889391593597,"SUUH"
1967,"USSR",221.355962283162,"SUUH"
1968,"USSR",211.499625431391,"SUUH"
1969,"USSR",206.2466370462,"SUUH"
1970,"USSR",192.297396207274,"SUUH"
1971,"USSR",187.179183775349,"SUUH"
1972,"USSR",176.959352353872,"SUUH"
1973,"USSR",161.619215005838,"SUUH"
1974,"USSR",159.685178972279,"SUUH"
1975,"USSR",154.690764672916,"SUUH"
1976,"USSR",145.777012300933,"SUUH"
1977,"USSR",146.683411665086,"SUUH"
1978,"USSR",142.878359350205,"SUUH"
1979,"USSR",140.938194761127,"SUUH"
1980,"USSR",137.0405073923,"SUUH"
1981,"USSR",141.091436477297,"SUUH"
1982,"USSR",139.215647702673,"SUUH"
1983,"USSR",136.749192984266,"SUUH"
1984,"USSR",136.86767107874,"SUUH"
1985,"USSR",133.464873679439,"SUUH"
1986,"USSR",130.269319283063,"SUUH"
1987,"USSR",125.284670611322,"SUUH"
1988,"USSR",127.156011410617,"SUUH"
1989,"USSR",125.245761461918,"SUUH"
1990,"USSR",128.616503874754,"SUUH"
1991,"USSR",131.650128405366,"SUUH"
