"year","country","overshoot_day","country_3_code"
1961,"Uganda",582.794948451704,"UGA"
1962,"Uganda",592.392186647235,"UGA"
1963,"Uganda",573.697541025728,"UGA"
1964,"Uganda",569.423416629887,"UGA"
1965,"Uganda",578.293983011488,"UGA"
1966,"Uganda",573.026367324229,"UGA"
1967,"Uganda",534.271918196917,"UGA"
1968,"Uganda",511.996226837683,"UGA"
1969,"Uganda",486.378232973359,"UGA"
1970,"Uganda",466.309539517819,"UGA"
1971,"Uganda",458.931712326489,"UGA"
1972,"Uganda",439.974157596291,"UGA"
1973,"Uganda",442.360118568221,"UGA"
1974,"Uganda",433.12915306414,"UGA"
1975,"Uganda",421.403342742095,"UGA"
1976,"Uganda",428.818316513772,"UGA"
1977,"Uganda",416.496203119319,"UGA"
1978,"Uganda",411.225024369529,"UGA"
1979,"Uganda",447.789690071052,"UGA"
1980,"Uganda",457.088550951631,"UGA"
1981,"Uganda",455.297388371441,"UGA"
1982,"Uganda",435.682291141353,"UGA"
1983,"Uganda",422.537854057505,"UGA"
1984,"Uganda",429.966325915902,"UGA"
1985,"Uganda",445.155884454514,"UGA"
1986,"Uganda",434.361024859033,"UGA"
1987,"Uganda",449.945387912863,"UGA"
1988,"Uganda",441.420242528508,"UGA"
1989,"Uganda",435.096833188285,"UGA"
1990,"Uganda",431.565752074643,"UGA"
1991,"Uganda",440.566923037535,"UGA"
1992,"Uganda",426.509647690903,"UGA"
1993,"Uganda",434.462744540639,"UGA"
1994,"Uganda",442.50246923027,"UGA"
1995,"Uganda",441.78400850938,"UGA"
1996,"Uganda",468.737133806293,"UGA"
1997,"Uganda",457.409835762337,"UGA"
1998,"Uganda",435.605881570013,"UGA"
1999,"Uganda",438.61602387756,"UGA"
2000,"Uganda",445.564421222989,"UGA"
2001,"Uganda",438.345237608452,"UGA"
2002,"Uganda",438.659904520306,"UGA"
2003,"Uganda",424.551631372461,"UGA"
2004,"Uganda",421.344486093227,"UGA"
2005,"Uganda",419.055248079602,"UGA"
2006,"Uganda",427.609281788379,"UGA"
2007,"Uganda",427.442705066092,"UGA"
2008,"Uganda",465.34925554248,"UGA"
2009,"Uganda",466.509399865789,"UGA"
2010,"Uganda",470.094619862791,"UGA"
2011,"Uganda",477.237747802268,"UGA"
2012,"Uganda",497.528892773286,"UGA"
2013,"Uganda",513.093044766708,"UGA"
2014,"Uganda",517.247790680786,"UGA"
