"year","country","overshoot_day","country_3_code"
1992,"Ukraine",149.77458565456,"UKR"
1993,"Ukraine",157.191519566009,"UKR"
1994,"Ukraine",193.410517390362,"UKR"
1995,"Ukraine",182.108249340839,"UKR"
1996,"Ukraine",217.993910055669,"UKR"
1997,"Ukraine",208.328389787191,"UKR"
1998,"Ukraine",226.97766347488,"UKR"
1999,"Ukraine",237.379230505558,"UKR"
2000,"Ukraine",228.779343012941,"UKR"
2001,"Ukraine",205.273937721384,"UKR"
2002,"Ukraine",239.739973422337,"UKR"
2003,"Ukraine",188.677878369983,"UKR"
2004,"Ukraine",192.177981773171,"UKR"
2005,"Ukraine",189.592592638804,"UKR"
2006,"Ukraine",191.19119853857,"UKR"
2007,"Ukraine",189.519823681362,"UKR"
2008,"Ukraine",168.466110813645,"UKR"
2009,"Ukraine",221.486642696994,"UKR"
2010,"Ukraine",195.638240465647,"UKR"
2011,"Ukraine",176.181125270794,"UKR"
2012,"Ukraine",212.894792651019,"UKR"
2013,"Ukraine",191.031014214137,"UKR"
2014,"Ukraine",207.134701764051,"UKR"
