"year","country","overshoot_day","country_3_code"
1980,"United Arab Emirates",124.052868302027,"ARE"
1981,"United Arab Emirates",99.4457767994372,"ARE"
1982,"United Arab Emirates",92.032035071897,"ARE"
1983,"United Arab Emirates",95.7319214987067,"ARE"
1984,"United Arab Emirates",77.3698516341946,"ARE"
1985,"United Arab Emirates",72.8664565150603,"ARE"
1986,"United Arab Emirates",66.3210327423509,"ARE"
1987,"United Arab Emirates",60.4107428383748,"ARE"
1988,"United Arab Emirates",59.9799185936937,"ARE"
1989,"United Arab Emirates",54.0637965938129,"ARE"
1990,"United Arab Emirates",56.9775185518797,"ARE"
1991,"United Arab Emirates",51.6611919359866,"ARE"
1992,"United Arab Emirates",55.3921835158451,"ARE"
1993,"United Arab Emirates",55.2165372101039,"ARE"
1994,"United Arab Emirates",52.3006524804487,"ARE"
1995,"United Arab Emirates",50.2353466227114,"ARE"
1996,"United Arab Emirates",50.8179665701005,"ARE"
1997,"United Arab Emirates",50.2087797918172,"ARE"
1998,"United Arab Emirates",50.5446489328734,"ARE"
1999,"United Arab Emirates",50.6639784661068,"ARE"
2000,"United Arab Emirates",53.7159167417321,"ARE"
2001,"United Arab Emirates",48.4388114973512,"ARE"
2002,"United Arab Emirates",49.8228143645062,"ARE"
2003,"United Arab Emirates",49.7088334165474,"ARE"
2004,"United Arab Emirates",51.4529497140377,"ARE"
2005,"United Arab Emirates",55.1635110700885,"ARE"
2006,"United Arab Emirates",52.87764537649,"ARE"
2007,"United Arab Emirates",53.7058018230185,"ARE"
2008,"United Arab Emirates",51.2386452948801,"ARE"
2009,"United Arab Emirates",57.5035792400817,"ARE"
2010,"United Arab Emirates",63.6936046125395,"ARE"
2011,"United Arab Emirates",66.4499530624268,"ARE"
2012,"United Arab Emirates",66.7816738509554,"ARE"
2013,"United Arab Emirates",64.7529070816788,"ARE"
2014,"United Arab Emirates",62.9521749394766,"ARE"
