"year","country","overshoot_day","country_3_code"
1992,"Uzbekistan",290.916576746751,"UZB"
1993,"Uzbekistan",292.622858973385,"UZB"
1994,"Uzbekistan",302.967945762476,"UZB"
1995,"Uzbekistan",321.157045515644,"UZB"
1996,"Uzbekistan",313.306689327853,"UZB"
1997,"Uzbekistan",321.687764210662,"UZB"
1998,"Uzbekistan",295.111914510307,"UZB"
1999,"Uzbekistan",312.334460296445,"UZB"
2000,"Uzbekistan",311.328675814202,"UZB"
2001,"Uzbekistan",309.040145391693,"UZB"
2002,"Uzbekistan",294.862068269665,"UZB"
2003,"Uzbekistan",296.632410045501,"UZB"
2004,"Uzbekistan",306.453390366233,"UZB"
2005,"Uzbekistan",306.468739371778,"UZB"
2006,"Uzbekistan",291.194527390784,"UZB"
2007,"Uzbekistan",282.651940201325,"UZB"
2008,"Uzbekistan",276.166117367393,"UZB"
2009,"Uzbekistan",284.279930036149,"UZB"
2010,"Uzbekistan",284.822919318342,"UZB"
2011,"Uzbekistan",268.600012115077,"UZB"
2012,"Uzbekistan",266.606497944333,"UZB"
2013,"Uzbekistan",284.180899891503,"UZB"
2014,"Uzbekistan",282.832501136243,"UZB"
