"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Viet Nam",1961,1781.09871358558,"VNM",1
"Viet Nam",1962,1675.21540920924,"VNM",1
"Viet Nam",1963,1689.39133944131,"VNM",1
"Viet Nam",1964,1637.37049358719,"VNM",1
"Viet Nam",1965,1595.73926524852,"VNM",1
"Viet Nam",1966,1491.23735255293,"VNM",1
"Viet Nam",1967,1419.79358982701,"VNM",1
"Viet Nam",1968,1430.54823126542,"VNM",1
"Viet Nam",1969,1325.77976645131,"VNM",1
"Viet Nam",1970,1266.92576669127,"VNM",1
"Viet Nam",1971,1320.06429890754,"VNM",1
"Viet Nam",1972,1290.65984730296,"VNM",1
"Viet Nam",1973,1274.4663882888,"VNM",1
"Viet Nam",1974,1323.12021599529,"VNM",1
"Viet Nam",1975,1371.160445349,"VNM",1
"Viet Nam",1976,1337.85851144779,"VNM",1
"Viet Nam",1977,1332.78916768908,"VNM",1
"Viet Nam",1978,1315.89834444565,"VNM",1
"Viet Nam",1979,1213.31840803234,"VNM",1
"Viet Nam",1980,1232.39528734574,"VNM",1
"Viet Nam",1981,1217.09722509025,"VNM",1
"Viet Nam",1982,1159.12615699767,"VNM",1
"Viet Nam",1983,1151.03166866523,"VNM",1
"Viet Nam",1984,1111.74813070135,"VNM",1
"Viet Nam",1985,1096.34446448676,"VNM",1
"Viet Nam",1986,1046.19580204363,"VNM",1
"Viet Nam",1987,1020.35259580024,"VNM",1
"Viet Nam",1988,1011.53634927249,"VNM",1
"Viet Nam",1989,1038.98611453463,"VNM",1
"Viet Nam",1990,1059.65148766129,"VNM",1
"Viet Nam",1991,1027.45415193254,"VNM",1
"Viet Nam",1992,1012.90294250326,"VNM",1
"Viet Nam",1993,955.748985660552,"VNM",1
"Viet Nam",1994,928.236471594127,"VNM",1
"Viet Nam",1995,851.978328773066,"VNM",1
"Viet Nam",1996,827.921532598658,"VNM",1
"Viet Nam",1997,789.273705999983,"VNM",1
"Viet Nam",1998,747.072853303024,"VNM",1
"Viet Nam",1999,742.696277074637,"VNM",1
"Viet Nam",2000,688.706233028299,"VNM",1
"Viet Nam",2001,673.776022857886,"VNM",1
"Viet Nam",2002,597.749391244685,"VNM",1
"Viet Nam",2003,582.392807963646,"VNM",1
"Viet Nam",2004,530.451529109206,"VNM",1
"Viet Nam",2005,515.860970064612,"VNM",1
"Viet Nam",2006,480.906365735942,"VNM",1
"Viet Nam",2007,439.3148737534,"VNM",1
"Viet Nam",2008,419.934390517352,"VNM",1
"Viet Nam",2009,403.108431611,"VNM",1
"Viet Nam",2010,370.131942186145,"VNM",1
"Viet Nam",2011,375.369769693546,"VNM",1
"Viet Nam",2012,380.198250611585,"VNM",1
"Viet Nam",2013,361.807244683832,"VNM",1
"Viet Nam",2014,354.048471828707,"VNM",1
