"year","country","overshoot_day","country_3_code"
1961,"World",498.652340661542,"NULL"
1962,"World",485.656196627516,"NULL"
1963,"World",467.262473345012,"NULL"
1964,"World",450.772752960993,"NULL"
1965,"World",435.786834503498,"NULL"
1966,"World",421.882435938838,"NULL"
1967,"World",412.528482966411,"NULL"
1968,"World",398.357409975625,"NULL"
1969,"World",382.385015359871,"NULL"
1970,"World",362.820738051542,"NULL"
1971,"World",353.643710706392,"NULL"
1972,"World",342.997115806707,"NULL"
1973,"World",329.244063251558,"NULL"
1974,"World",330.758576009293,"NULL"
1975,"World",333.28038326335,"NULL"
1976,"World",319.945007618591,"NULL"
1977,"World",313.992925089006,"NULL"
1978,"World",310.09216924258,"NULL"
1979,"World",301.598074502969,"NULL"
1980,"World",307.139433702363,"NULL"
1981,"World",314.055667083294,"NULL"
1982,"World",318.316210757639,"NULL"
1983,"World",317.364859468455,"NULL"
1984,"World",309.891473033519,"NULL"
1985,"World",307.124156117121,"NULL"
1986,"World",302.723942732267,"NULL"
1987,"World",295.57448991008,"NULL"
1988,"World",287.373967789183,"NULL"
1989,"World",284.129594783287,"NULL"
1990,"World",283.765761045163,"NULL"
1991,"World",282.708207621385,"NULL"
1992,"World",285.241565582108,"NULL"
1993,"World",285.154348390199,"NULL"
1994,"World",283.301487408749,"NULL"
1995,"World",277.123551258219,"NULL"
1996,"World",274.728749659584,"NULL"
1997,"World",272.276276011863,"NULL"
1998,"World",272.867754083059,"NULL"
1999,"World",272.486334537642,"NULL"
2000,"World",266.160779396823,"NULL"
2001,"World",264.946936011362,"NULL"
2002,"World",261.629723558499,"NULL"
2003,"World",251.937560763261,"NULL"
2004,"World",244.089537684816,"NULL"
2005,"World",237.059388891988,"NULL"
2006,"World",231.484800853509,"NULL"
2007,"World",225.856423804364,"NULL"
2008,"World",226.788463660155,"NULL"
2009,"World",230.045097440661,"NULL"
2010,"World",219.385460314757,"NULL"
2011,"World",215.834685874219,"NULL"
2012,"World",216.107703848018,"NULL"
2013,"World",215.32053503597,"NULL"
2014,"World",216.523648228473,"NULL"
