country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
Yugoslav SFR,1961,18715300.7835157,2.031358949,2.152384227,-0.121025278,YUG,-1.0595784659328673,530.0320877680666
Yugoslav SFR,1962,18905300.7811414,2.006798141,2.150915968,-0.144117827,YUG,-1.071814826378103,523.5570455935983
Yugoslav SFR,1963,19093199.2180689,2.061453652,2.363537276,-0.302083624,YUG,-1.1465391424153535,467.3437629459032
Yugoslav SFR,1964,19274000.0010762,2.056041789,2.495783461,-0.439741672,YUG,-1.2138778074155778,436.1268561115177
Yugoslav SFR,1965,19444300.7803471,1.986200424,2.459823573,-0.473623149,YUG,-1.2384568924821795,434.84229729928603
Yugoslav SFR,1966,19603000.0029525,2.155905235,2.62150342,-0.465598185,YUG,-1.2159641116693978,404.3272836876733
Yugoslav SFR,1967,19752400.388941,2.09021523,2.507233785,-0.417018555,YUG,-1.1995098705696445,416.15286256112216
Yugoslav SFR,1968,19897300.7822044,2.008479426,2.41121632,-0.402736894,YUG,-1.2005182945787003,424.91396986243
Yugoslav SFR,1969,20044400.3906152,2.097095168,2.550934765,-0.453839597,YUG,-1.2164134639631068,394.0592871150607
Yugoslav SFR,1970,20198599.6125624,1.97143255,2.856727426,-0.885294876,YUG,-1.4490616988138905,346.6972382209097
Yugoslav SFR,1971,20361499.9975284,2.056352006,3.128693742,-1.072341736,YUG,-1.521477687081406,312.87862628419015
Yugoslav SFR,1972,20531800.7796327,2.003386391,2.868088819,-0.864702428,YUG,-1.4316203875179565,333.11832341801966
Yugoslav SFR,1973,20708099.6074194,2.012057616,3.019320386,-1.00726277,YUG,-1.5006132876055505,313.8175648119358
Yugoslav SFR,1974,20887999.9979806,2.078619828,3.414860492,-1.336240664,YUG,-1.6428499578010858,270.5960951318509
Yugoslav SFR,1975,21069499.9980499,1.990630591,3.13060239,-1.139971799,YUG,-1.5726686888700931,290.42574942126157
Yugoslav SFR,1976,21251800.778868,2.031967053,3.103918032,-1.071950979,YUG,-1.527543470746733,289.80950034601426
Yugoslav SFR,1977,21434999.9985448,2.053635502,3.357003871,-1.303368369,YUG,-1.6346639410937336,263.5246652871031
Yugoslav SFR,1978,21619300.7821217,1.930199379,3.254383434,-1.324184055,YUG,-1.6860348385356958,270.9889374497178
Yugoslav SFR,1979,21805000.0010766,1.950691755,3.427390142,-1.476698387,YUG,-1.7570126507326818,252.36448599329265
Yugoslav SFR,1980,21991900.3935842,1.938237227,3.327592801,-1.389355574,YUG,-1.7168139939196196,255.37702853997038
Yugoslav SFR,1981,22178099.6098597,1.888551902,3.377986827,-1.489434925,YUG,-1.7886650613096733,249.62239435038646
Yugoslav SFR,1982,22361099.6076019,1.963580843,3.528126282,-1.564545439,YUG,-1.7967817917799604,237.25111089277053
Yugoslav SFR,1983,22539900.3904191,1.994387979,3.503276059,-1.50888808,YUG,-1.7565669945523839,233.20924666913922
Yugoslav SFR,1984,22713499.9987529,1.968182591,3.415092034,-1.446909443,YUG,-1.735149989310697,239.18742466674402
Yugoslav SFR,1985,22879699.2177274,1.871997317,3.440162052,-1.568164735,YUG,-1.8376960603768384,235.09211271468865
Yugoslav SFR,1986,23040300.7792204,1.973070416,3.669631428,-1.696561012,YUG,-1.8598583014589007,217.22377705428397
Yugoslav SFR,1987,23191500.0027882,1.888176579,3.344603403,-1.456426824,YUG,-1.7713403690241725,234.4852864871811
Yugoslav SFR,1988,23319400.3901289,1.87330293,3.431720489,-1.558417559,YUG,-1.8319090014982253,222.50066774231755
Yugoslav SFR,1989,23405800.7817884,1.870087231,3.476345523,-1.606258292,YUG,-1.8589215755459705,219.1977125878311
Yugoslav SFR,1990,23438800.7800646,1.799581485,3.635597067,-1.836015582,YUG,-2.020245885058531,209.04622861812712
Yugoslav SFR,1991,23413599.6111559,1.985550694,3.089456038,-1.103905344,YUG,-1.555969341684246,240.16715072653565
