"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"South Africa",1961,17849999.9976199,2.940179144,2.667970211,0.272208933,"ZAF",1.10202847842903,427.603236050013
"South Africa",1962,18322300.7833546,2.835394221,2.664183565,0.171210656,"ZAF",1.06426382175763,422.691298857932
"South Africa",1963,18809900.389078,2.767114564,2.802449013,-0.035334449,"ZAF",-1.01276941710718,394.149693944475
"South Africa",1964,19308199.2166474,2.594216595,2.92110869,-0.326892095,"ZAF",-1.12600802541318,372.625028089506
"South Africa",1965,19813900.3868423,2.486727039,3.044901547,-0.558174508,"ZAF",-1.22446149135854,351.287338908993
"South Africa",1966,20325199.2171542,2.443925281,3.166011619,-0.722086338,"ZAF",-1.29546170085855,334.788839339692
"South Africa",1967,20843800.7834955,2.621918763,3.433730623,-0.81181186,"ZAF",-1.30962509303683,303.865574946386
"South Africa",1968,21374900.390111,2.36416237,3.106985692,-0.742823322,"ZAF",-1.3142014860849,329.759963243474
"South Africa",1969,21926199.2153972,2.303369112,3.284769929,-0.981400817,"ZAF",-1.42607187260578,306.024342455464
"South Africa",1970,22502500.0010855,2.285886652,3.40843852,-1.122551868,"ZAF",-1.49107940238419,290.578662320004
"South Africa",1971,23106800.7787619,2.321745155,3.7198534,-1.398108245,"ZAF",-1.60217989472273,263.155904724632
"South Africa",1972,23736499.9986787,2.296669303,3.502614472,-1.205945169,"ZAF",-1.52508439068698,272.771363354431
"South Africa",1973,24384499.9973418,2.03284995,3.729798741,-1.696948791,"ZAF",-1.83476340691058,254.039386982198
"South Africa",1974,25040900.3919589,2.239524821,4.08221149,-1.842686669,"ZAF",-1.82280252647524,226.359637838461
"South Africa",1975,25698900.393447,2.075651994,4.02406205,-1.948410056,"ZAF",-1.93869787391479,225.942722941577
"South Africa",1976,26354099.6058968,1.988216219,4.068536152,-2.080319933,"ZAF",-2.04632482074812,221.097928216787
"South Africa",1977,27009800.7692457,2.008654668,4.001966276,-1.993311608,"ZAF",-1.9923615342004,221.054667330657
"South Africa",1978,27674400.3868206,1.987114977,3.704191096,-1.717076119,"ZAF",-1.8641050655257,238.082181996496
"South Africa",1979,28360800.7726571,1.876207947,3.736120325,-1.859912378,"ZAF",-1.99131460880975,231.510623703685
"South Africa",1980,29077099.60734,1.89431718,3.788708595,-1.894391415,"ZAF",-2.00003919090255,224.295624491944
"South Africa",1981,29828900.3927656,1.960141964,3.871748163,-1.911606199,"ZAF",-1.97523867097871,217.788221119338
"South Africa",1982,30611199.2176005,1.748916773,3.644804044,-1.895887271,"ZAF",-2.08403513678927,229.656213076204
"South Africa",1983,31409900.3852043,1.581217954,3.450884354,-1.8696664,"ZAF",-2.18242172118018,236.749854661895
"South Africa",1984,32205000.0125192,1.579133227,3.486247631,-1.907114404,"ZAF",-2.20769694017521,234.305521065113
"South Africa",1985,32983000.0118297,1.604524452,3.441836748,-1.837312296,"ZAF",-2.14508211451686,234.977730399005
"South Africa",1986,33733499.9965891,1.585444611,3.384475664,-1.799031053,"ZAF",-2.1347170873412,235.525754581426
"South Africa",1987,34463101.5605589,1.610079801,3.610014516,-1.999934715,"ZAF",-2.24213389920177,217.245744147288
"South Africa",1988,35195601.5652768,1.596507963,3.614450549,-2.017942586,"ZAF",-2.2639727396035,211.252056918472
"South Africa",1989,35965101.5714229,1.590495603,3.529167158,-1.938671555,"ZAF",-2.21891038239905,215.91693977123
"South Africa",1990,36793499.9852694,1.495133973,3.429971673,-1.9348377,"ZAF",-2.29408987343121,221.578464489955
"South Africa",1991,37692398.4219,1.451475183,3.336745274,-1.885270091,"ZAF",-2.29886486932556,222.368139640445
"South Africa",1992,38646800.7738362,1.255161894,3.245440106,-1.990278212,"ZAF",-2.58567450609897,228.811460145267
"South Africa",1993,39619499.9922387,1.397913088,3.293603875,-1.895690787,"ZAF",-2.3560863143502,221.758162742338
"South Africa",1994,40558499.9955501,1.410573476,3.150519667,-1.739946191,"ZAF",-2.23350271692333,230.443316456647
"South Africa",1995,41426800.7787539,1.252074813,3.197792101,-1.945717288,"ZAF",-2.553994437441,222.365624028529
"South Africa",1996,42210199.2198581,1.361611448,3.339917648,-1.9783062,"ZAF",-2.45291533058128,213.226801194137
"South Africa",1997,42921499.9946917,1.313839172,3.424076864,-2.110237692,"ZAF",-2.60616137666226,206.114300939036
"South Africa",1998,43583999.9980704,1.250153056,3.300110052,-2.049956996,"ZAF",-2.63976484607413,212.371955964439
"South Africa",1999,44233699.231942,1.268555086,3.051322617,-1.782767531,"ZAF",-2.40535284912222,227.273217748264
"South Africa",2000,44896898.4534916,1.292868537,3.109117427,-1.81624889,"ZAF",-2.40482098821896,220.055112700151
"South Africa",2001,45579199.2090465,1.232629837,3.239476506,-2.006846669,"ZAF",-2.62810163674116,209.731406471076
"South Africa",2002,46272199.2290778,1.257299687,3.269062565,-2.011762878,"ZAF",-2.600066337406,205.177354164157
"South Africa",2003,46971300.780637,1.184202363,3.343603315,-2.159400952,"ZAF",-2.82350670201333,197.677677755612
"South Africa",2004,47667101.5672641,1.166836418,3.6375362,-2.470699782,"ZAF",-3.11743457579084,183.249935735347
"South Africa",2005,48352898.4324382,1.170588885,3.416399851,-2.245810966,"ZAF",-2.91853097049752,191.585056462506
"South Africa",2006,49027800.7952365,1.093409198,3.592774025,-2.499364827,"ZAF",-3.28584577484806,180.323751094558
"South Africa",2007,49693601.5763314,1.056618582,3.683134647,-2.626516065,"ZAF",-3.48577497094552,174.431778890188
"South Africa",2008,50348800.7794109,1.145643114,3.83214568,-2.686502566,"ZAF",-3.34497337482351,168.299620467197
"South Africa",2009,50991999.996072,1.126544304,3.576341244,-2.44979694,"ZAF",-3.17461213021095,177.273734280443
"South Africa",2010,51621601.5649923,1.089480401,3.511489766,-2.422009365,"ZAF",-3.22308671179399,179.069813482016
"South Africa",2011,52237300.7957764,1.070093674,3.39995615,-2.329862476,"ZAF",-3.17725092234215,183.328677821752
"South Africa",2012,52837300.7864147,1.068792255,3.444272069,-2.375479814,"ZAF",-3.22258334114979,177.951720231395
"South Africa",2013,53416601.5527253,1.049393426,3.345804222,-2.296410796,"ZAF",-3.18832203857041,184.443983872398
"South Africa",2014,53969101.5578622,1.077947013,3.415378922,-2.337431909,"ZAF",-3.16841075518174,179.759218223196
