"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Zimbabwe",1961,3876639.89154826,2.024914247,1.80867174,0.216242507,"ZWE",0.119558762377937,630.757196679198
"Zimbabwe",1962,4006260.00893668,1.994294573,1.793555906,0.200738667,"ZWE",0.111922170923137,627.874060841929
"Zimbabwe",1963,4140799.80444797,1.873197597,1.780763915,0.092433682,"ZWE",0.0519067687749061,620.286841868818
"Zimbabwe",1964,4279560.05945561,1.826783587,1.655508612,0.171274975,"ZWE",0.103457626254554,657.488708539478
"Zimbabwe",1965,4422129.88317449,1.767371863,1.631595292,0.135776571,"ZWE",0.0832170575632326,655.576382927188
"Zimbabwe",1966,4568319.82396382,1.766976493,1.58484697,0.182129523,"ZWE",0.114919288738913,668.799795122179
"Zimbabwe",1967,4718609.86321079,1.818894412,1.63692294,0.181971472,"ZWE",0.111166817936263,637.410914698548
"Zimbabwe",1968,4874109.86188869,1.641603529,1.618875045,0.0227284839999999,"ZWE",0.014039706586364,632.883632294031
"Zimbabwe",1969,5036319.82315087,1.769686599,1.813139638,-0.0434530390000001,"ZWE",-0.0245540651096075,554.408247861886
"Zimbabwe",1970,5206310.05797626,1.619055348,1.77866258,-0.159607232,"ZWE",-0.0985804778076303,556.833825555223
"Zimbabwe",1971,5385339.84240367,1.710777521,1.896600389,-0.185822868,"ZWE",-0.108618962914593,516.134757179214
"Zimbabwe",1972,5573310.05737019,1.726910742,1.746374994,-0.0194642519999999,"ZWE",-0.0112711442167531,547.083491500966
"Zimbabwe",1973,5768379.88288281,1.44070048,1.521467679,-0.0807671989999998,"ZWE",-0.0560610766229494,622.764305357912
"Zimbabwe",1974,5967859.86168821,1.624525957,1.727102524,-0.102576567,"ZWE",-0.0631424443349616,535.027838081411
"Zimbabwe",1975,6170279.78493797,1.499462753,1.538162537,-0.0386997840000001,"ZWE",-0.0258090772845142,591.099801327883
"Zimbabwe",1976,6373959.96065296,1.508560206,1.63470498,-0.126144774,"ZWE",-0.0836193273319864,550.279668010436
"Zimbabwe",1977,6580740.23478402,1.402783611,1.434694509,-0.031910898,"ZWE",-0.0227482626490054,616.614428448008
"Zimbabwe",1978,6796950.19311906,1.37960086,1.385328306,-0.00572744599999986,"ZWE",-0.00415151959241315,636.601374287958
"Zimbabwe",1979,7031160.15821798,1.256690669,1.314842714,-0.0581520450000002,"ZWE",-0.0462739410645899,657.836516022031
"Zimbabwe",1980,7289080.07561029,1.267703146,1.656431634,-0.388728488,"ZWE",-0.30663996535782,513.024963696056
"Zimbabwe",1981,7571959.96002451,1.322301943,1.752290683,-0.42998874,"ZWE",-0.325181977725904,481.210767768156
"Zimbabwe",1982,7876410.15622242,1.201197795,1.633577694,-0.432379899,"ZWE",-0.359957297290732,512.40408340846
"Zimbabwe",1983,8197559.56879999,1.061412126,1.368907675,-0.307495549,"ZWE",-0.289704216966128,596.82356973739
"Zimbabwe",1984,8528330.07877401,1.053177888,1.378086214,-0.324908326,"ZWE",-0.308502782943915,592.740178720315
"Zimbabwe",1985,8862599.60911462,1.211882872,1.574946109,-0.363063237,"ZWE",-0.299586073033609,513.512796514116
"Zimbabwe",1986,9198870.11578683,1.141729511,1.56313893,-0.421409419,"ZWE",-0.369097396808111,509.955444845624
"Zimbabwe",1987,9535660.15324145,0.972707117,1.460689783,-0.487982666,"ZWE",-0.501674830960423,536.910907733456
"Zimbabwe",1988,9866780.27491993,1.119869354,1.585976325,-0.466106971,"ZWE",-0.416215471920899,481.444837955649
"Zimbabwe",1989,10184999.9996688,1.018917075,1.539631246,-0.520714171,"ZWE",-0.51104661038757,494.928254094227
"Zimbabwe",1990,10484799.8084987,0.986648291,1.516464151,-0.52981586,"ZWE",-0.536985585815995,501.170988757928
"Zimbabwe",1991,10762999.9975588,0.927608103,1.559055562,-0.631447459,"ZWE",-0.68072659132666,475.920066490894
"Zimbabwe",1992,11019700.1933795,0.72600754,1.482555853,-0.756548313,"ZWE",-1.04206680828687,500.887614487251
"Zimbabwe",1993,11256499.9983303,0.910730261,1.386762087,-0.476031826,"ZWE",-0.522692460004568,526.682658593713
"Zimbabwe",1994,11476799.8001771,0.896224955,1.454656027,-0.558431072,"ZWE",-0.623092505960697,499.098211694036
"Zimbabwe",1995,11683099.6067758,0.741502776,1.300223303,-0.558720527,"ZWE",-0.753497539146111,546.88993485196
"Zimbabwe",1996,11877700.1954165,0.842505187,1.512075515,-0.669570328,"ZWE",-0.79473731194463,470.981737419858
"Zimbabwe",1997,12059900.3924277,0.804458445,1.421239537,-0.616781092,"ZWE",-0.766703448347189,496.574445478753
"Zimbabwe",1998,12226700.189726,0.763363782,1.389291259,-0.625927477,"ZWE",-0.819959678988175,504.466440432615
"Zimbabwe",1999,12374000.0015359,0.78652174,1.467587379,-0.681065639,"ZWE",-0.865920959794449,472.533292184166
"Zimbabwe",2000,12500000.003682,0.791517279,1.357957418,-0.566440139,"ZWE",-0.715638349676965,503.828161218459
"Zimbabwe",2001,12604000.0071385,0.793271391,1.412618629,-0.619347238,"ZWE",-0.780750721389309,480.96489921271
"Zimbabwe",2002,12691400.395824,0.681917746,1.274294674,-0.592376928,"ZWE",-0.868692668580632,526.359887445973
"Zimbabwe",2003,12774200.1980592,0.70435403,1.216766271,-0.512412241,"ZWE",-0.727492494080001,543.206806171407
"Zimbabwe",2004,12867799.8111249,0.821502473,1.278239142,-0.456736669,"ZWE",-0.555977184097815,521.481681232408
"Zimbabwe",2005,12984400.3859265,0.693761681,1.244629701,-0.55086802,"ZWE",-0.794030624464585,525.884259181667
"Zimbabwe",2006,13127900.3958642,0.736756416,1.314936884,-0.578180468,"ZWE",-0.784764766623954,492.694732739647
"Zimbabwe",2007,13297799.8046443,0.714639398,1.280508157,-0.565868759,"ZWE",-0.791824240309169,501.719333128831
"Zimbabwe",2008,13495500.0027987,0.633634855,1.124073588,-0.490438733,"ZWE",-0.774008456542306,573.760176277603
"Zimbabwe",2009,13720999.9968344,0.617009965,1.15618246,-0.539172495,"ZWE",-0.873847354524919,548.348863250395
"Zimbabwe",2010,13973900.3964865,0.619689392,1.241330428,-0.621641036,"ZWE",-1.00314935196809,506.554760545621
"Zimbabwe",2011,14255599.612801,0.58017441,1.306024052,-0.725849642,"ZWE",-1.25108877173676,477.257239330423
"Zimbabwe",2012,14565500.0075329,0.587818792,1.173113346,-0.585294554,"ZWE",-0.995705683379056,522.467987653025
"Zimbabwe",2013,14898099.6073179,0.558680008,1.140061799,-0.581381791,"ZWE",-1.04063467386277,541.29824883616
"Zimbabwe",2014,15245900.3900994,0.540845367,1.0881328,-0.547287433,"ZWE",-1.0119110939232,564.219588822247
